Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9533103,8304931,"£2,215,750","£1,074,938",48.51%,31 Oct 2025,£58.229380,1.01%,Extended (No ICF),4,9533103,1,15/01/2024,655
9849479,8321796,"£2,714,750","£1,022,552",37.67%,02 Mar 2025,£55.391635,0.96%,Extended (No ICF),4,9849479,1,02/12/2023,456
9539675,8377015,"£3,250,000","£1,546,787",47.59%,23 Apr 2025,£83.789436,1.45%,Extended (No ICF),4,9539675,1,20/12/2023,490
9725716,8862114,"£2,478,340","£879,032",43.54%,29 Apr 2025,£47.617143,0.83%,Extended (No ICF),4,9725716,2,29/07/2023,640
9519806,8338102,"£13,594,171","£3,392,912",24.96%,21 Jun 2025,£183.794020,3.19%,Extended (No ICF),4,9519806,1,21/12/2023,548
9497296,8477242,"£360,000","£180,000",50.00%,28 Feb 2025,£9.750600,0.17%,Extended (No ICF),2,9497296,1,29/08/2023,549
9735908,8928256,"£870,000","£432,500",49.71%,02 Mar 2025,£23.428525,0.41%,Extended (No ICF),2,9735908,1,02/09/2023,547
9814898,8504135,"£4,390,000","£1,000,000",22.78%,14 Mar 2025,£54.170000,0.94%,Extended (No ICF),1,9814898,1,16/09/2023,545
9384686,8927567,"£350,000","£153,000",43.71%,27 Jul 2025,£8.288010,0.14%,Extended (No ICF),2,9384686,1,27/07/2023,731
9869541,8192608,"£1,085,000","£480,000",48.85%,21 Jun 2025,£26.001600,0.45%,Extended (No ICF),2,9869541,2,01/11/2023,598
9455066,8587271,"£980,000","£202,500",49.95%,22 Jun 2025,£10.969425,0.19%,Extended (No ICF),2,9455066,6,22/09/2023,639
9773729,8273896,"£1,500,000","£712,000",47.47%,30 Jun 2025,£38.569040,0.67%,Extended (No ICF),2,9773729,1,30/12/2023,548
9535109,8645523,"£650,000","£287,500",44.23%,05 Jul 2025,£15.573875,0.27%,Extended (No ICF),2,9535109,1,05/10/2023,639
9456536,8235316,"£1,455,000","£525,000",36.08%,07 Jul 2025,£28.439250,0.49%,Extended (No ICF),2,9456536,1,07/10/2023,639
9541573,8778586,"£1,200,000","£415,000",49.50%,11 May 2025,£22.480550,0.39%,Extended (No ICF),2,9541573,4,11/11/2023,547
9840316,8429623,"£535,000","£198,721",37.14%,11 Feb 2025,£10.764713,0.19%,Default (No Suspension - No ICF),2,9840316,1,11/11/2023,458
9759623,8593913,"£1,567,419","£462,500",49.92%,18 May 2025,£25.053625,0.43%,Extended (No ICF),2,9759623,5,18/11/2023,547
9139612,8728067,"£1,200,000","£319,000",26.58%,24 May 2025,£17.280230,0.30%,Extended (No ICF),2,9139612,3,24/08/2023,639
9957523,8186641,"£750,000","£375,000",50.00%,08 Jun 2025,£20.313750,0.35%,Extended (No ICF),2,9957523,1,08/12/2023,548
9116419,8543592,"£4,435,000","£1,337,500",38.84%,16 Jun 2025,£72.452375,1.26%,Extended (No ICF),2,9116419,3,16/12/2023,548
9854106,8152787,"£3,480,401","£1,144,000",46.37%,22 Jun 2025,£61.970480,1.08%,Extended (No ICF),4,9854106,3,22/12/2023,548
9738285,8398453,"£425,000","£175,000",41.18%,12 Jul 2025,£9.479750,0.16%,Extended (No ICF),2,9738285,1,12/01/2024,547
9648903,8688358,"£530,000","£170,000",32.08%,24 Jul 2025,£9.208900,0.16%,Extended (No ICF),1,9648903,1,24/07/2023,731
9602009,8221505,"£480,000","£240,000",50.00%,01 May 2025,£13.000800,0.23%,Extended (No ICF),2,9602009,1,01/08/2023,639
