platform_account_name,platform_account_sector,loan_part_name,loan_part_id,loan_part_status,loan_part_amt,loan_part_term_months,loan_part_starts,loan_part_matures,loan_part_original_maturity,loan_part_ttm_days,loan_part_blended_ltv,loan_part_gross_apr,loan_part_net_apr,loan_part_int_per,loan_part_gross_aer,loan_part_net_aer,loan_parts_in_loan,loan_part_maturity_extended_days,platform_weighted_maturity_extended_days,platform_weighted_net_aer,platform_weighted_blended_ltv,platform_weighted_term_months,platform_weighted_ttm_months,your_standard_notes,your_isa_notes,loan_portion,portfolio_weighted_maturity_extended_days,portfolio_weighted_ttm_months,portfolio_weighted_term_months,portfolio_weighted_net_aer,portfolio_weighted_net_aer_inc_nonib_cash,portfolio_weighted_blended_ltv,portfolio_weighted_blended_ltv_inc_nonib_cash
Loanpad 60d Access,Development,9816818,9816818,Active,27.258678,2.0,,2024-10-11,2024-01-11,60,0.3071,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,274.0,1.3266212738898755,0.0003248599189136139,0.0014868809971225576,0.00987367830102799,0.00973095758971221,,,1.0,0.4695140577722634,0.004013674956156677,0.0034607008147619234,0.00011497350580657184,0.00010379036859648788,0.0005262327267951171,0.0004750476059544335
Loanpad 60d Access,Development,9129586,9129586,Active,22.984,2.0,,2025-06-21,2023-12-21,60,0.08,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,548.0,2.237163765541741,0.00027391571874140424,0.00032659325044404974,0.008325298170029645,0.008204958774667849,,,1.0,0.7917706870331498,0.0033842545552761243,0.0029179972530761784,9.694347823684799e-05,8.751406916438418e-05,0.0001155869616106788,0.00010434415534569805
Loanpad 60d Access,Development,9533103,9533103,Active,61.765925,2.0,,2025-01-15,2024-01-15,60,0.4851,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,366.0,4.0153336678508,0.000736105888448602,0.0053219627384547075,0.022372943890214422,0.022049550483128535,,,1.0,1.4210955611878058,0.009094657720244233,0.007841663743635105,0.0002605205188834096,0.00023518044867961045,0.001883534034787444,0.001700328178767639
Loanpad 60d Access,Development,9849479,9849479,Active,58.755831,2.0,,2024-12-02,2023-12-02,60,0.37670000000000003,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,366.0,3.8196508252220247,0.0007002325826058771,0.003931318212735347,0.02128262322932784,0.020974990042044516,,,1.0,1.3518400417058574,0.008651439641088762,0.007459508939271152,0.00024782433970746686,0.00022371918978179902,0.001391361048389608,0.0012560274217096965
Loanpad 60d Access,Development,9539675,9539675,Active,88.878364,2.0,,2024-10-23,2023-12-20,60,0.47590000000000005,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,308.0,4.862262186856128,0.001059222979273414,0.0075128265413143885,0.03219365128630476,0.031728302844584194,,,1.0,1.7208381127566375,0.013086799870887986,0.01128379838191371,0.00037487720789073503,0.0003384139964459326,0.0026589183696781944,0.00240029314337128
Loanpad 60d Access,Development,9725716,9725716,Active,50.509157,2.0,,2024-10-29,2023-07-29,60,0.4354,0.065,0.065,36,0.06709648000844526,0.06709648000844526,2.0,458.0,4.108915436234459,0.0006019514463399508,0.00390616109374778,0.01829550088504351,0.018031045550305692,,,0.5,1.4542157565834988,0.007437166927445482,0.006412529645892509,0.00021304095729163933,0.00019231908541301513,0.0013824575118263217,0.001247989906151369
Loanpad 60d Access,Development,9519806,9519806,Active,194.956699,2.0,,2024-12-21,2023-12-21,60,0.24960000000000002,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,366.0,12.673916844404973,0.002323429530544579,0.008643195749626999,0.07061750128000871,0.06959674896190082,,,1.0,4.485516886094187,0.028706191118706325,0.024751266626818622,0.0008223016231567274,0.0007423187452291171,0.0030589754501888227,0.002761437839747578
Loanpad 60d Access,Development,9497296,9497296,Active,10.3428,2.0,,2025-02-28,2023-08-29,60,0.5,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,549.0,1.008560781527531,0.0001232620734336319,0.0009185435168738899,0.00374638417651334,0.003692231448600532,,,1.0,0.3569469858239775,0.001522914549874256,0.0013130987638842802,4.36245652065816e-05,3.938133112397288e-05,0.00032508832953003413,0.00029346793690977573
Loanpad 60d Access,Development,9735908,9735908,Active,24.85145,2.0,,2025-03-02,2023-09-02,60,0.4971,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,547.0,2.414519209591474,0.0002961713708891433,0.0021942550257548843,0.009001728646344553,0.008871611675109612,,,1.0,0.8545398253265738,0.003659225237892309,0.0031550845298886176,0.00010482013584359188,9.462458728399041e-05,0.0007765845469284092,0.0007010484355207769
Loanpad 60d Access,Development,9814898,9814898,Active,57.46,2.0,,2025-03-14,2023-09-16,60,0.2278,0.065,0.065,36,0.06709648000844526,0.06709648000844526,1.0,545.0,5.562291296625222,0.0006847892968535106,0.0023249357015985793,0.020813245425074112,0.020512396936669623,,,1.0,1.968590439931873,0.00846063638819031,0.007294993132690446,0.00024235869559211995,0.00021878517291096047,0.0008228346829660196,0.0007427999558671879
